# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
23.200000000 0.990540665 0.986794615 0.979344963 0.971951550 0.964613952 0.957331749
23.300000000 0.990725520 0.987195678 0.980173678 0.973201626 0.966279167 0.959405948
23.400000000 0.990898341 0.987573976 0.980958667 0.974387671 0.967860692 0.961377433
23.500000000 0.991057611 0.987926946 0.981695253 0.975502868 0.969349544 0.963235034
23.600000000 0.991200966 0.988251771 0.982379679 0.976542478 0.970739962 0.964971923
23.700000000 0.991323020 0.988543049 0.983006473 0.977500906 0.972026175 0.966582106
23.800000000 0.991396299 0.988773649 0.983549144 0.978352245 0.973182806 0.968040681
23.900000000 0.991482413 0.989005484 0.984070175 0.979159494 0.974273318 0.969411525
24.000000000 0.991656140 0.989313768 0.984645610 0.979999479 0.975375270 0.970772882
24.100000000 0.991765541 0.989547609 0.985126614 0.980725371 0.976343791 0.971981787
24.200000000 0.991854177 0.989751155 0.985558478 0.981383562 0.977226331 0.973086710
24.300000000 0.991929750 0.989932789 0.985950920 0.981985067 0.978035166 0.974101154
24.400000000 0.991995012 0.990095941 0.986308699 0.982535944 0.978777620 0.975033672
24.500000000 0.992051407 0.990242706 0.986635191 0.983040819 0.979459541 0.975891309
24.600000000 0.992099905 0.990374669 0.986933193 0.983503675 0.980086074 0.976680350
24.700000000 0.992141235 0.990493134 0.987205140 0.983928061 0.980661860 0.977406501
24.800000000 0.992175977 0.990599213 0.987453197 0.984317172 0.981191107 0.978074970
24.900000000 0.992204593 0.990693858 0.987679284 0.984673884 0.981677628 0.978690490
25.000000000 0.992227420 0.990777856 0.987885080 0.985000749 0.982124840 0.979257327
25.100000000 0.992244432 0.990851595 0.988071784 0.985299772 0.982535536 0.979779056
25.200000000 0.992257529 0.990917346 0.988242408 0.985574690 0.982914174 0.980260840
25.300000000 0.992267603 0.990976342 0.988398858 0.985828078 0.983263985 0.980706561
25.400000000 0.992270077 0.991024322 0.988537503 0.986056924 0.983582569 0.981114424
25.500000000 0.992253224 0.991049857 0.988647499 0.986250964 0.983860239 0.981475309
